nama,provinsi,kabupaten,kecamatan,ketinggian,jenis gunung,status,akses,jarak,elevation gain,latitude,longitude
gunung gamalama,maluku utara,ternate,ternate tengah,1716,stratovolcano,aktif,buka,9300,1326,0.809682,127.335865
gunung gamkonora,maluku utara,halmahera barat,ibu selatan,1635,stratovolcano,aktif,buka,11000,1300,1.379105,127.537171
gunung hiri,maluku utara,ternate,pulau hiri,630,stratovolcano,tidak aktif,buka,7000,500,0.881418,127.32298
gunung ibu,maluku utara,halmahera barat,ibu maluku,1325,stratovolcano,aktif,tutup,13000,1100,1.483805,127.635994
gunung tigalalu,maluku utara,halmahera selatan,kayoa,422,stratovolcano,tidak aktif,buka,5000,350,0.067654,127.420314
gunung todoko-ranu,maluku utara,halmahera barat,sahu maluku,979,caldera,tidak aktif,buka,26000,700,1.250858,127.471459
puncak jaya,papua,mimika,tembagapura,4884,karst,tidak aktif,buka,12100,1862,4.035284,137.310214
puncak trikora,papua,jayawijaya,trikora,4750,non volcanic,tidak aktif,tutup,65000,3300,4.260873,138.683512
puncak mandala,papua,pegunungan bintang,alemsom,4760,non volcanic,tidak aktif,buka,90000,3500,4.707777,140.293072
puncak idenburg,papua,paniai,dogomo,4717,non volcanic,tidak aktif,buka,60000,3200,4.049315,137.036724
gunung derabaro,papua,deiyai,tigi timur,4150,non volcanic,tidak aktif,buka,70000,2500,4.139742,136.316247
gunung redoura,papua,deiyai,tigi timur,3083,non volcanic,tidak aktif,buka,45000,2600,4.132434,136.285908
gunung dafonsoro,papua,jayapura,sentani,2034,stratovolcano,tidak aktif,buka,44000,1900,2.515789,140.585739
gunung yamin,papua,yahukimo,bomela,4595,non volcanic,tidak aktif,buka,80000,3200,4.661216,140.056255
gunung irau,papua,manokwari,manokwari,2582,stratovolcano,aktif,buka,37500,2100,0.660465,132.89337
gunung mebo,papua,arfak,kwok i,2939,stratovolcano,tidak aktif,buka,60000,2200,1.162005,133.994944
gunung umsini,papua,arfak,andang,2735,stratovolcano,tidak aktif,buka,27500,2100,1.149185,133.952189
